,Longitude,Latitude,Crime,ethnicity,Legislation_simplified,Gender,Age range
5083,-0.471225,51.507495,0,Asian,Drugs,Male,18-24
5084,-0.126114,51.523469,0,White,Criminal Evidence Act,Male,25-34
5085,,,0,Not stated,Criminal Evidence Act,Male,Not stated
5086,0.081352,51.538919,1,White,Drugs,Male,18-24
5087,-0.121515,51.526642,1,White,Drugs,Male,25-34
5088,0.017533,51.518838,1,Not stated,Drugs,Male,over 34
5089,0.113361,51.396124,1,White,Drugs,Male,over 34
5090,0.080477,51.539024,1,White,Drugs,Male,18-24
5091,0.113361,51.396124,0,White,Drugs,Male,over 34
5092,,,0,Black,Criminal Evidence Act,Male,Not stated
5093,-0.0653,51.526088,0,Not stated,Drugs,Male,over 34
5094,-0.052121,51.519386,0,White,Criminal Evidence Act,Male,Not stated
5095,-0.052121,51.519386,0,White,Criminal Evidence Act,Male,25-34
5096,-0.007316,51.554181,0,White,Criminal Evidence Act,Female,Not stated
5097,,,0,Mixed,Criminal Evidence Act,Female,Not stated
5098,0.081352,51.538919,0,White,Drugs,Male,25-34
5099,0.081352,51.538919,0,White,Drugs,Male,10-17
5100,-0.121515,51.526642,0,Not stated,Drugs,Male,25-34
5101,-0.443819,51.485446,0,White,Drugs,Male,25-34
5102,,,0,Other,Drugs,Male,over 34
5103,,,0,Black,Criminal Evidence Act,Male,18-24
5104,0.081352,51.538919,0,White,Drugs,Male,25-34
5105,0.081352,51.538919,0,White,Drugs,Male,18-24
5106,0.081352,51.538919,0,White,Drugs,Female,over 34
5107,-0.121515,51.526642,1,White,Drugs,Male,over 34
5108,,,0,White,Criminal Evidence Act,Female,18-24
5109,-0.206388,51.483565,0,Not stated,Drugs,Male,over 34
5110,,,0,Not stated,Criminal Evidence Act,Male,18-24
5111,-0.111683,51.552769,0,White,Criminal Evidence Act,Male,Not stated
5112,-0.082941,51.584865,1,White,Criminal Evidence Act,Male,25-34
5113,0.013066,51.44593,1,Not stated,Drugs,Male,10-17
5114,0.010058,51.444632,1,Black,Drugs,Male,10-17
5115,0.081352,51.538919,0,Not stated,Drugs,Male,Not stated
5116,,,0,White,Criminal Evidence Act,Male,25-34
5117,,,1,White,Drugs,Female,18-24
5118,-0.071772,51.515196,0,Black,Criminal Evidence Act,Male,over 34
5119,-0.466851,51.507735,0,Black,Drugs,Male,18-24
5120,,,1,Not stated,Criminal Evidence Act,Male,18-24
5121,-0.257498,51.541869,1,White,Drugs,Male,over 34
5122,-0.114686,51.562106,1,Not stated,Criminal Evidence Act,Male,18-24
5123,-0.257498,51.541869,0,Black,Drugs,Male,over 34
5124,-0.140306,51.551221,1,Not stated,Criminal Evidence Act,Male,Not stated
5125,-0.466851,51.507735,0,Black,Drugs,Male,18-24
5126,0.081352,51.538919,0,Not stated,Drugs,Male,over 34
5127,-0.067744,51.522504,0,Not stated,Drugs,Male,Not stated
5128,0.003845,51.541608,1,Black,Drugs,Male,25-34
5129,0.051069,51.540531,0,Asian,Drugs,Male,25-34
5130,-0.161197,51.445861,0,White,Criminal Evidence Act,Male,over 34
5131,0.081352,51.538919,0,Black,Drugs,Male,25-34
5132,-0.066313,51.602172,0,Not stated,Criminal Evidence Act,Male,18-24
5133,0.002022,51.536882,0,Black,Drugs,Male,10-17
5134,-0.207153,51.56209,0,Black,Criminal Evidence Act,Male,18-24
5135,,,0,Mixed,Criminal Evidence Act,Male,25-34
5136,0.059143,51.490642,0,White,Drugs,Female,25-34
5137,0.059143,51.490642,0,Black,Drugs,Male,over 34
5138,-0.161197,51.445861,0,White,Criminal Evidence Act,Male,over 34
5139,0.002022,51.536882,0,Black,Criminal Evidence Act,Male,10-17
5140,,,0,White,Drugs,Male,18-24
5141,0.037672,51.53375,1,Asian,Criminal Evidence Act,Male,10-17
5142,,,1,Other,Drugs,Male,10-17
5143,-0.094943,51.542229,1,Black,Criminal Evidence Act,Male,10-17
5144,0.070658,51.492975,1,White,Criminal Evidence Act,Male,10-17
5145,-0.175681,51.612322,1,Mixed,Drugs,Male,25-34
5146,-0.175681,51.612322,1,Mixed,Drugs,Male,over 34
5147,-0.061061,51.627147,0,Mixed,Drugs,Male,25-34
5148,0.037672,51.53375,1,Asian,Criminal Evidence Act,Male,10-17
5149,0.037672,51.53375,1,Asian,Criminal Evidence Act,Male,10-17
5150,,,1,White,Criminal Evidence Act,Male,25-34
5151,0.081352,51.538919,0,Asian,Drugs,Male,18-24
5152,,,0,Black,Criminal Evidence Act,Male,10-17
5153,0.075164,51.492589,0,White,Criminal Evidence Act,Female,10-17
5154,0.075164,51.492589,0,White,Criminal Evidence Act,Female,10-17
5155,0.081352,51.538919,0,Asian,Drugs,Male,25-34
5156,-0.075958,51.525633,1,Black,Drugs,Male,over 34
5157,-0.129336,51.447983,0,Black,Criminal Evidence Act,Male,18-24
5158,-0.018961,51.589944,1,Not stated,Criminal Evidence Act,Male,18-24
5159,0.081352,51.538919,0,Other,Drugs,Male,25-34
5160,-0.082941,51.584865,0,White,Criminal Evidence Act,Male,25-34
5161,-0.082941,51.584865,0,White,Criminal Evidence Act,Male,25-34
5162,0.165773,51.483676,1,White,Drugs,Male,18-24
5163,-0.422408,51.43768,0,Not stated,Drugs,Male,18-24
5164,-0.117358,51.432683,0,White,Drugs,Male,over 34
5165,-0.410235,51.447237,0,Asian,Criminal Evidence Act,Male,18-24
5166,-0.082941,51.584865,0,White,Criminal Evidence Act,Male,18-24
5167,0.081352,51.538919,0,Black,Drugs,Male,over 34
5168,-0.009792,51.51827,0,Black,Drugs,Male,25-34
5169,0.121059,51.500599,0,White,Drugs,Male,25-34
5170,0.004202,51.554335,0,White,Criminal Evidence Act,Female,10-17
5171,-0.14422,51.430486,1,Black,Drugs,Female,25-34
5172,-0.017293,51.608027,1,Not stated,Drugs,Male,Not stated
5173,-0.32842,51.584733,0,Black,Drugs,Male,10-17
5174,0.004202,51.554335,0,Not stated,Criminal Evidence Act,Male,10-17
5175,0.004202,51.554335,0,Black,Criminal Evidence Act,Male,10-17
5176,0.022164,51.431348,0,White,Drugs,Male,18-24
5177,-0.113828,51.48134,0,Black,Drugs,Male,18-24
5178,0.121059,51.500599,0,White,Drugs,Male,over 34
5179,0.004202,51.554335,0,Black,Criminal Evidence Act,Male,10-17
5180,-0.090693,51.545586,0,Not stated,Criminal Evidence Act,Male,10-17
5181,,,0,Asian,Drugs,Male,10-17
5182,,,0,Not stated,Drugs,Male,18-24
5183,0.095128,51.553457,0,Black,Drugs,Male,Not stated
5184,,,1,Black,Drugs,Female,25-34
5185,0.033084,51.533353,0,Mixed,Drugs,Male,over 34
5186,-0.255919,51.546585,1,Black,Drugs,Male,over 34
5187,0.033084,51.533353,0,Black,Drugs,Male,over 34
5188,-0.140306,51.551221,1,Black,Drugs,Male,18-24
5189,,,0,Not stated,Drugs,Male,over 34
5190,-0.121894,51.47325,0,Not stated,Criminal Evidence Act,Male,18-24
5191,-0.347691,51.536538,1,Asian,Drugs,Male,25-34
5192,-0.121894,51.47325,0,Black,Criminal Evidence Act,Male,10-17
5193,0.034419,51.534841,0,Asian,Drugs,Male,over 34
5194,,,0,Asian,Criminal Evidence Act,Male,10-17
5195,-0.011538,51.481817,1,White,Drugs,Female,18-24
5196,-0.140452,51.498815,0,Other,Criminal Evidence Act,Male,18-24
5197,-0.260331,51.560211,1,Asian,Drugs,Male,18-24
5198,0.004202,51.554335,0,Black,Criminal Evidence Act,Male,10-17
5199,,,1,Not stated,Criminal Evidence Act,Male,Not stated
5200,-0.340319,51.4724,0,Not stated,Drugs,Male,18-24
5201,-0.131379,51.475119,0,White,Drugs,Male,18-24
5202,0.006177,51.538565,0,Black,Drugs,Male,18-24
5203,-0.009564,51.465632,0,Mixed,Criminal Evidence Act,Male,10-17
5204,0.012612,51.549767,0,Black,Criminal Evidence Act,Male,18-24
5205,-0.131379,51.475119,0,Not stated,Criminal Evidence Act,Male,Not stated
5206,0.148729,51.540842,1,Black,Drugs,Male,25-34
5207,0.012612,51.549767,0,Black,Criminal Evidence Act,Male,10-17
5208,0.012612,51.549767,0,Not stated,Criminal Evidence Act,Male,10-17
5209,-0.203506,51.529419,0,Not stated,Criminal Evidence Act,Male,Not stated
5210,-0.060378,51.625221,0,Other,Criminal Evidence Act,Male,18-24
5211,0.012612,51.549767,0,Black,Criminal Evidence Act,Male,10-17
5212,0.012612,51.549767,0,Black,Criminal Evidence Act,Male,10-17
5213,-0.094943,51.542229,0,Black,Criminal Evidence Act,Male,10-17
5214,,,0,White,Drugs,Male,25-34
5215,,,0,Not stated,Criminal Evidence Act,Male,Not stated
5216,-0.070734,51.509397,1,White,Drugs,Female,over 34
5217,-0.063405,51.512298,0,White,Drugs,Male,10-17
5218,-0.00464,51.489388,0,Not stated,Criminal Evidence Act,Male,18-24
5219,-0.063405,51.512298,0,Black,Drugs,Male,18-24
5220,-0.063405,51.512298,0,Black,Drugs,Male,10-17
5221,0.230693,51.605239,0,White,Drugs,Male,18-24
5222,-0.209004,51.527803,0,White,Drugs,Male,18-24
5223,0.230693,51.605239,0,Black,Drugs,Male,10-17
5224,0.230693,51.605239,0,Black,Drugs,Male,10-17
5225,0.230693,51.605239,0,Black,Drugs,Male,10-17
5226,0.230693,51.605239,0,White,Drugs,Female,10-17
5227,0.114082,51.536643,0,White,Drugs,Male,over 34
5228,0.001993,51.535237,0,Asian,Drugs,Male,10-17
5229,-0.348942,51.534244,0,Black,Firearms,Male,18-24
5230,-0.07523,51.460821,0,Black,Drugs,Male,25-34
5231,0.108512,51.475682,0,White,Criminal Evidence Act,Male,over 34
5232,-0.318402,51.578484,0,White,Drugs,Male,25-34
5233,-0.317469,51.576007,1,White,Drugs,Male,18-24
5234,-0.060378,51.625221,1,White,Criminal Evidence Act,Male,18-24
5235,-0.017293,51.608027,0,Black,Drugs,Male,18-24
5236,-0.018961,51.589944,0,Black,Drugs,Male,25-34
5237,-0.018961,51.589944,0,Not stated,Drugs,Male,Not stated
5238,0.230693,51.605239,0,White,Drugs,Female,10-17
5239,,,0,Asian,Drugs,Male,10-17
5240,,,0,Black,Drugs,Male,Not stated
5241,0.147969,51.541234,0,White,Criminal Evidence Act,Male,18-24
5242,-0.023462,51.517818,0,Asian,Drugs,Male,25-34
5243,-0.113486,51.423988,0,Not stated,Drugs,Male,Not stated
5244,-0.265518,51.565692,0,White,Drugs,Male,25-34
5245,0.118147,51.574168,1,Asian,Drugs,Male,18-24
5246,-0.199893,51.48173,0,Not stated,Criminal Evidence Act,Male,over 34
5247,-0.34718,51.623026,0,Asian,Drugs,Male,Not stated
5248,-0.16546,51.48384,0,Asian,Drugs,Male,18-24
5249,,,0,Asian,Drugs,Male,18-24
5250,-0.445729,51.570303,1,Black,Criminal Evidence Act,Male,over 34
5251,-0.129367,51.562962,0,Black,Criminal Evidence Act,Male,10-17
5252,0.02695,51.462111,0,Black,Criminal Evidence Act,Male,10-17
5253,-0.191728,51.362183,0,Asian,Drugs,Male,18-24
5254,-0.191728,51.362183,0,White,Drugs,Male,18-24
5255,-0.180383,51.479442,0,White,Criminal Evidence Act,Male,over 34
5256,-0.12169,51.536734,0,White,Criminal Evidence Act,Male,18-24
5257,-0.070056,51.515546,0,Black,Drugs,Male,18-24
5258,-0.191728,51.362183,0,Mixed,Drugs,Male,10-17
5259,,,0,Not stated,Criminal Evidence Act,Male,Not stated
5260,-0.195654,51.488796,0,Not stated,Drugs,Male,25-34
5261,-0.106663,51.548246,0,Not stated,Criminal Evidence Act,Male,Not stated
5262,-0.245186,51.493406,1,Not stated,Drugs,Not stated,Not stated
5263,-0.120074,51.479363,0,Black,Criminal Evidence Act,Male,Not stated
5264,-0.059716,51.49025,0,White,Criminal Evidence Act,Male,18-24
5265,-0.059716,51.49025,0,Mixed,Criminal Evidence Act,Male,25-34
5266,-0.06188,51.490519,0,White,Drugs,Male,18-24
5267,-0.06188,51.490519,0,Black,Drugs,Male,25-34
5268,-0.093572,51.482541,1,Black,Drugs,Male,25-34
5269,-0.327643,51.511894,0,White,Drugs,Male,25-34
5270,-0.09697,51.38668,1,Not stated,Criminal Evidence Act,Male,over 34
5271,-0.381449,51.49702,0,Not stated,Drugs,Male,over 34
5272,-0.101061,51.49572,0,White,Criminal Evidence Act,Male,10-17
5273,-0.093116,51.598681,1,Black,Drugs,Male,18-24
5274,-0.164111,51.517415,0,Black,Drugs,Male,18-24
5275,-0.101061,51.49572,0,Black,Criminal Evidence Act,Male,10-17
5276,-0.164111,51.517415,0,Black,Drugs,Male,18-24
5277,-0.054506,51.522276,1,Mixed,Drugs,Male,10-17
5278,-0.167849,51.427432,1,White,Criminal Evidence Act,Male,over 34
5279,-0.059716,51.49025,0,Not stated,Criminal Evidence Act,Male,10-17
5280,-0.16534,51.517677,1,Other,Criminal Evidence Act,Male,10-17
5281,-0.008051,51.558159,0,Not stated,Criminal Evidence Act,Male,18-24
5282,-0.102657,51.378427,0,Other,Drugs,Male,Not stated
5283,0.024831,51.537129,1,Asian,Drugs,Male,18-24
5284,-0.388965,51.541653,1,Not stated,Drugs,Male,25-34
5285,,,0,White,Drugs,Male,25-34
5286,0.049128,51.548038,1,White,Drugs,Female,18-24
5287,,,0,Black,Drugs,Male,over 34
5288,-0.033187,51.644264,1,Black,Drugs,Male,18-24
5289,-0.202809,51.532825,1,Not stated,Drugs,Male,25-34
5290,-0.014305,51.571574,0,White,Criminal Evidence Act,Male,10-17
5291,-0.085626,51.560476,1,Not stated,Drugs,Male,10-17
5292,0.016988,51.437625,0,Mixed,Drugs,Male,18-24
5293,-0.128569,51.501207,0,Black,Drugs,Male,10-17
5294,-0.199223,51.568533,0,Asian,Drugs,Male,Not stated
5295,-0.091735,51.54447,0,Black,Criminal Evidence Act,Male,Not stated
5296,0.114853,51.390755,0,White,Drugs,Male,25-34
5297,-0.128569,51.501207,1,Mixed,Drugs,Male,18-24
5298,-0.388965,51.541653,0,Not stated,Drugs,Male,18-24
5299,-0.090033,51.504848,1,White,Drugs,Male,25-34
5300,,,0,Black,Criminal Evidence Act,Male,Not stated
5301,,,1,Not stated,Drugs,Male,18-24
5302,-0.017599,51.573473,1,Black,Criminal Evidence Act,Male,18-24
5303,-0.129905,51.601881,0,White,Drugs,Male,25-34
5304,-0.090033,51.504848,1,Not stated,Drugs,Male,25-34
5305,0.1503,51.491236,1,White,Drugs,Male,25-34
5306,0.060765,51.478374,0,White,Drugs,Male,25-34
5307,-0.102866,51.589936,1,White,Drugs,Male,25-34
5308,-0.063992,51.430078,0,Black,Drugs,Male,18-24
5309,,,0,Black,Criminal Evidence Act,Male,18-24
5310,,,0,Black,Criminal Evidence Act,Male,10-17
5311,-0.008051,51.558159,0,White,Drugs,Male,25-34
5312,-0.089404,51.546059,0,Not stated,Criminal Evidence Act,Male,10-17
5313,,,0,Other,Drugs,Male,18-24
5314,-0.089404,51.546059,0,Black,Criminal Evidence Act,Male,10-17
5315,0.08899,51.503855,1,Black,Drugs,Male,18-24
5316,0.08899,51.503855,1,Black,Drugs,Male,18-24
5317,0.08899,51.503855,0,Black,Drugs,Male,Not stated
5318,-0.136358,51.497104,1,Not stated,Drugs,Male,25-34
5319,-0.059407,51.583291,0,Not stated,Criminal Evidence Act,Male,25-34
5320,-0.088344,51.54588,0,Black,Public Order Act,Male,18-24
5321,-0.088344,51.54588,0,Black,Criminal Evidence Act,Male,10-17
5322,-0.043536,51.455989,0,Black,Criminal Evidence Act,Male,18-24
5323,-0.043536,51.455989,0,Black,Criminal Evidence Act,Male,18-24
5324,-0.043536,51.455989,0,Black,Drugs,Male,18-24
5325,,,0,Not stated,Drugs,Male,18-24
5326,0.008918,51.486513,0,White,Drugs,Male,10-17
5327,-0.046634,51.513207,0,Not stated,Drugs,Male,Not stated
5328,-0.046634,51.513207,0,Not stated,Drugs,Male,Not stated
5329,0.031287,51.574607,0,Black,Drugs,Female,over 34
5330,0.031287,51.574607,1,Black,Drugs,Female,over 34
5331,0.067299,51.563573,0,Asian,Drugs,Female,25-34
5332,0.031287,51.574607,0,Asian,Drugs,Male,18-24
5333,0.006282,51.536045,0,Black,Drugs,Male,10-17
5334,-0.028349,51.539806,1,Asian,Drugs,Male,over 34
5335,-0.159536,51.61225,0,Other,Criminal Evidence Act,Male,18-24
5336,-0.028349,51.539806,1,Asian,Drugs,Male,over 34
5337,-0.124564,51.598693,0,Black,Criminal Evidence Act,Male,Not stated
5338,-0.019207,51.444087,0,Black,Criminal Evidence Act,Male,18-24
5339,-0.072178,51.583366,0,Not stated,Drugs,Male,Not stated
5340,-0.013787,51.570208,1,Black,Criminal Evidence Act,Male,18-24
5341,-0.404504,51.513801,0,Black,Drugs,Male,18-24
5342,-0.05996,51.527249,1,Black,Drugs,Male,18-24
5343,-0.124564,51.598693,0,Black,Criminal Evidence Act,Male,10-17
5344,-0.221082,51.521962,0,White,Criminal Evidence Act,Male,10-17
5345,0.008918,51.486513,0,Not stated,Drugs,Male,25-34
5346,0.043153,51.435517,0,White,Drugs,Male,18-24
5347,,,0,Black,Criminal Evidence Act,Male,18-24
5348,-0.031904,51.479445,0,Black,Criminal Evidence Act,Male,over 34
5349,,,0,White,Drugs,Male,10-17
5350,-0.114001,51.504031,0,Not stated,Criminal Evidence Act,Male,10-17
5351,-0.064566,51.52844,1,Asian,Drugs,Male,18-24
5352,-0.117391,51.501136,0,Not stated,Criminal Evidence Act,Male,10-17
5353,0.043153,51.435517,0,White,Drugs,Male,25-34
5354,0.043153,51.435517,0,Not stated,Drugs,Not stated,Not stated
5355,-0.03385,51.475044,1,White,Drugs,Male,over 34
5356,-0.194417,51.646458,0,White,Drugs,Male,Not stated
5357,0.043153,51.435517,0,White,Drugs,Male,25-34
5358,,,1,White,Drugs,Male,18-24
5359,-0.049901,51.419117,0,Not stated,Criminal Evidence Act,Male,18-24
5360,-0.106707,51.462709,1,Black,Criminal Evidence Act,Male,18-24
5361,-0.137157,51.405365,0,Not stated,Drugs,Male,25-34
5362,0.035916,51.390193,0,Asian,Drugs,Male,Not stated
5363,-0.452975,51.532794,1,White,Drugs,Male,over 34
5364,0.034286,51.607495,0,Not stated,Drugs,Male,Not stated
5365,-0.112314,51.462206,0,Black,Criminal Evidence Act,Male,18-24
5366,-0.128932,51.404695,0,Not stated,Drugs,Male,Not stated
5367,-0.115825,51.461201,0,Black,Criminal Evidence Act,Male,10-17
5368,-0.128932,51.404695,0,Not stated,Drugs,Male,25-34
5369,,,0,Asian,Drugs,Male,18-24
5370,0.151565,51.443739,0,White,Drugs,Male,over 34
5371,,,1,White,Drugs,Male,18-24
5372,-0.017482,51.528724,1,Asian,Drugs,Male,18-24
5373,0.035916,51.390193,1,Not stated,Drugs,Male,25-34
5374,-0.124337,51.414037,0,Black,Drugs,Male,18-24
5375,0.114853,51.390755,0,White,Drugs,Male,18-24
5376,,,0,White,Drugs,Male,25-34
5377,,,1,White,Drugs,Male,25-34
5378,-0.361762,51.464662,1,White,Criminal Evidence Act,Male,over 34
5379,-0.193308,51.602334,0,Asian,Criminal Evidence Act,Male,10-17
5380,-0.067817,51.608581,0,Not stated,Drugs,Male,25-34
5381,-0.061976,51.533065,0,White,Drugs,Male,over 34
5382,,,1,White,Drugs,Male,25-34
5383,-0.216621,51.528782,1,Other,Drugs,Male,18-24
5384,-0.216621,51.528782,1,Asian,Drugs,Male,18-24
5385,-0.061976,51.533065,0,White,Drugs,Male,over 34
5386,-0.078745,51.534438,0,White,Drugs,Male,over 34
5387,-0.102866,51.589936,1,Not stated,Criminal Evidence Act,Female,10-17
5388,0.056019,51.489384,0,White,Drugs,Male,25-34
5389,-0.250828,51.398988,0,Not stated,Drugs,Male,over 34
5390,-0.47618,51.488973,0,Asian,Drugs,Male,25-34
5391,-0.193603,51.452849,0,White,Criminal Evidence Act,Male,over 34
5392,-0.01068,51.463466,0,White,Drugs,Male,over 34
5393,-0.051944,51.549877,0,Black,Criminal Evidence Act,Male,18-24
5394,-0.063554,51.471402,1,Black,Drugs,Male,over 34
5395,-0.253171,51.400129,0,Not stated,Drugs,Male,18-24
5396,-0.133012,51.510953,0,Black,Drugs,Male,over 34
5397,0.121059,51.500599,1,White,Drugs,Male,over 34
5398,-0.03042,51.571342,0,Asian,Drugs,Male,10-17
5399,,,0,Not stated,Drugs,Male,18-24
5400,-0.063554,51.471402,1,Black,Drugs,Male,18-24
5401,-0.404504,51.513801,1,Not stated,Drugs,Male,18-24
5402,-0.193712,51.494198,1,Not stated,Criminal Evidence Act,Female,18-24
5403,-0.071772,51.515196,0,Asian,Drugs,Male,over 34
5404,-0.404504,51.513801,0,Black,Drugs,Male,Not stated
5405,-0.13338,51.514988,0,Not stated,Drugs,Male,18-24
5406,-0.13338,51.514988,0,White,Drugs,Female,18-24
5407,-0.13338,51.514988,0,Black,Drugs,Male,25-34
5408,-0.06725,51.60868,0,Not stated,Drugs,Male,25-34
5409,-0.404504,51.513801,0,Black,Drugs,Male,Not stated
5410,-0.075044,51.565069,0,Black,Drugs,Male,25-34
5411,-0.404504,51.513801,0,Black,Drugs,Male,Not stated
5412,,,0,White,Drugs,Male,18-24
5413,-0.075044,51.565069,0,Not stated,Drugs,Male,Not stated
5414,-0.070056,51.515546,1,Asian,Drugs,Male,over 34
5415,-0.066304,51.612927,0,Not stated,Criminal Evidence Act,Male,18-24
5416,-0.043852,51.517585,1,Asian,Criminal Evidence Act,Male,over 34
5417,-0.067817,51.608581,0,Not stated,Criminal Evidence Act,Male,over 34
5418,-0.158109,51.516854,0,Black,Drugs,Male,18-24
5419,-0.158109,51.516854,0,Not stated,Drugs,Not stated,Not stated
5420,,,1,Black,Drugs,Male,25-34
5421,-0.009573,51.547097,1,Not stated,Drugs,Male,25-34
5422,-0.130801,51.513904,1,Mixed,Drugs,Male,18-24
5423,-0.070056,51.515546,0,Not stated,Drugs,Male,25-34
5424,,,1,Not stated,Drugs,Not stated,Not stated
5425,-0.020286,51.447415,0,White,Drugs,Male,over 34
5426,-0.066304,51.612927,0,Not stated,Criminal Evidence Act,Male,25-34
5427,0.069992,51.432447,0,Not stated,Criminal Evidence Act,Not stated,Not stated
5428,-0.061976,51.533065,0,Black,Criminal Evidence Act,Male,25-34
5429,0.085704,51.573544,0,Asian,Drugs,Male,18-24
5430,0.115508,51.507993,0,White,Criminal Evidence Act,Male,25-34
5431,-0.061976,51.533065,0,Black,Drugs,Male,over 34
5432,-0.016218,51.450961,0,White,Drugs,Male,over 34
5433,-0.016218,51.450961,0,Black,Drugs,Male,25-34
5434,-0.210762,51.525627,0,Not stated,Criminal Evidence Act,Male,18-24
5435,-0.170186,51.517591,0,Asian,Criminal Evidence Act,Male,Not stated
5436,-0.065899,51.60953,1,Not stated,Criminal Evidence Act,Male,18-24
5437,-0.167858,51.519227,0,Not stated,Drugs,Male,over 34
5438,-0.023195,51.532957,0,Asian,Drugs,Male,25-34
5439,-0.164111,51.517415,0,Not stated,Criminal Evidence Act,Male,18-24
5440,-0.051669,51.439748,1,Black,Drugs,Male,over 34
5441,-0.164111,51.517415,1,Black,Criminal Evidence Act,Male,25-34
5442,-0.08214,51.556903,1,White,Criminal Evidence Act,Male,over 34
5443,-0.164111,51.517415,0,White,Criminal Evidence Act,Female,18-24
5444,-0.141682,51.485939,0,Not stated,Criminal Evidence Act,Male,Not stated
5445,-0.053382,51.439057,1,White,Drugs,Male,over 34
5446,-0.053382,51.439057,1,White,Drugs,Male,over 34
5447,-0.064921,51.441119,0,Black,Drugs,Male,25-34
5448,0.068376,51.536432,0,Black,Criminal Evidence Act,Male,25-34
5449,-0.016218,51.450961,0,Other,Drugs,Male,10-17
5450,-0.095946,51.596955,0,Not stated,Criminal Evidence Act,Male,18-24
5451,-0.01068,51.463466,0,Other,Drugs,Male,25-34
5452,-0.060115,51.565308,0,Not stated,Criminal Evidence Act,Male,Not stated
5453,-0.060115,51.565308,0,Not stated,Criminal Evidence Act,Male,Not stated
5454,-0.124719,51.484428,0,White,Criminal Evidence Act,Male,25-34
5455,-0.069909,51.445005,0,White,Drugs,Male,18-24
5456,-0.098561,51.363882,1,White,Criminal Evidence Act,Male,18-24
5457,0.125039,51.581777,0,Asian,Drugs,Male,over 34
5458,0.010775,51.530671,1,Not stated,Criminal Evidence Act,Male,25-34
5459,-0.135464,51.511595,0,Not stated,Drugs,Male,25-34
5460,-0.127411,51.493239,1,Not stated,Drugs,Male,18-24
5461,0.010775,51.530671,1,White,Criminal Evidence Act,Male,18-24
5462,-0.141682,51.485939,0,Not stated,Criminal Evidence Act,Male,Not stated
5463,-0.016218,51.450961,1,Black,Drugs,Male,over 34
5464,-0.016218,51.450961,1,White,Drugs,Male,over 34
5465,-0.01068,51.463466,0,White,Criminal Evidence Act,Male,over 34
5466,-0.167849,51.427432,0,Black,Drugs,Male,25-34
5467,0.102566,51.564916,1,White,Drugs,Male,25-34
5468,-0.301951,51.463352,0,Not stated,Criminal Evidence Act,Male,Not stated
5469,-0.127411,51.493239,1,Asian,Drugs,Male,18-24
5470,-0.044824,51.477053,0,Black,Criminal Evidence Act,Male,18-24
5471,0.073643,51.433021,0,Black,Drugs,Male,18-24
5472,-0.159246,51.520819,0,Not stated,Criminal Evidence Act,Male,over 34
5473,-0.131436,51.514246,0,Black,Drugs,Male,over 34
5474,-0.284063,51.462786,0,White,Drugs,Male,over 34
5475,-0.131436,51.514246,1,White,Drugs,Female,18-24
5476,-0.127411,51.493239,0,Asian,Drugs,Male,18-24
5477,-0.127411,51.493239,0,Asian,Drugs,Male,18-24
5478,-0.056066,51.427034,0,Black,Drugs,Female,25-34
5479,-0.298847,51.410522,0,White,Drugs,Male,25-34
5480,-0.222408,51.480122,1,Not stated,Criminal Evidence Act,Male,25-34
5481,-0.002584,51.45073,0,White,Drugs,Male,25-34
5482,-0.010143,51.453637,1,Not stated,Drugs,Male,18-24
5483,-0.206892,51.489094,0,Not stated,Criminal Evidence Act,Male,over 34
5484,0.023959,51.43192,0,White,Drugs,Male,25-34
5485,-0.186049,51.530454,0,Not stated,Firearms,Male,18-24
5486,0.037898,51.481966,0,Black,Criminal Evidence Act,Male,18-24
5487,0.031446,51.487483,0,White,Criminal Evidence Act,Male,10-17
5488,-0.287851,51.488893,1,Not stated,Criminal Evidence Act,Male,25-34
5489,-0.026941,51.443282,1,White,Drugs,Female,25-34
5490,-0.141682,51.485939,0,Not stated,Criminal Evidence Act,Male,Not stated
5491,-0.113107,51.455196,1,Black,Drugs,Male,over 34
5492,-0.116056,51.459766,0,Black,Drugs,Male,over 34
5493,-0.194306,51.493748,0,White,Criminal Evidence Act,Male,over 34
5494,-0.370755,51.469661,1,Black,Drugs,Female,18-24
5495,-0.370755,51.469661,1,Black,Drugs,Male,18-24
5496,,,0,Not stated,Drugs,Male,18-24
5497,-0.373051,51.510743,0,White,Drugs,Male,25-34
5498,-0.123569,51.526818,0,White,Criminal Evidence Act,Male,over 34
5499,,,0,Not stated,Criminal Evidence Act,Male,over 34
5500,-0.195655,51.440596,1,White,Criminal Evidence Act,Male,25-34
5501,,,0,White,Drugs,Male,10-17
5502,-0.00884,51.480935,0,White,Drugs,Male,over 34
5503,-0.307293,51.410365,1,White,Criminal Evidence Act,Male,over 34
5504,-0.086604,51.490053,0,Not stated,Drugs,Male,over 34
5505,0.092002,51.562659,0,White,Criminal Evidence Act,Male,over 34
5506,0.092002,51.562659,0,White,Criminal Evidence Act,Male,over 34
5507,0.034419,51.534841,0,Asian,Drugs,Male,over 34
5508,0.035468,51.537664,0,Asian,Drugs,Male,25-34
5509,0.105416,51.456915,1,White,Drugs,Male,over 34
5510,,,1,White,Criminal Evidence Act,Male,18-24
5511,0.121059,51.500599,0,White,Drugs,Male,10-17
5512,-0.115009,51.530575,0,White,Drugs,Female,25-34
5513,-0.1124,51.530551,0,White,Drugs,Male,over 34
